,Date,Dividends,Stock Splits
Tesla,2020-08-31,0.0,5.0
Nvidia,2017-02-22,0.035,0.0
Nvidia,2017-05-19,0.035,0.0
Nvidia,2017-08-22,0.035,0.0
Nvidia,2017-11-22,0.0375,0.0
Nvidia,2018-02-22,0.0375,0.0
Nvidia,2018-05-23,0.0375,0.0
Nvidia,2018-08-29,0.0375,0.0
Nvidia,2018-11-29,0.04,0.0
Nvidia,2019-02-28,0.04,0.0
Nvidia,2019-05-30,0.04,0.0
Nvidia,2019-08-28,0.04,0.0
Nvidia,2019-11-27,0.04,0.0
Nvidia,2020-02-27,0.04,0.0
Nvidia,2020-06-04,0.04,0.0
Nvidia,2020-09-01,0.04,0.0
Nvidia,2020-12-03,0.04,0.0
Nvidia,2021-03-09,0.04,0.0
Nvidia,2021-06-09,0.04,0.0
Nvidia,2021-07-20,0.0,4.0
Nvidia,2021-08-31,0.04,0.0
Nvidia,2021-12-01,0.04,0.0
Apple,2017-02-09,0.1425,0.0
Apple,2017-05-11,0.1575,0.0
Apple,2017-08-10,0.1575,0.0
Apple,2017-11-10,0.1575,0.0
Apple,2018-02-09,0.1575,0.0
Apple,2018-05-11,0.1825,0.0
Apple,2018-08-10,0.1825,0.0
Apple,2018-11-08,0.1825,0.0
Apple,2019-02-08,0.1825,0.0
Apple,2019-05-10,0.1925,0.0
Apple,2019-08-09,0.1925,0.0
Apple,2019-11-07,0.1925,0.0
Apple,2020-02-07,0.1925,0.0
Apple,2020-05-08,0.205,0.0
Apple,2020-08-07,0.205,0.0
Apple,2020-08-31,0.0,4.0
Apple,2020-11-06,0.205,0.0
Apple,2021-02-05,0.205,0.0
Apple,2021-05-07,0.22,0.0
Apple,2021-08-06,0.22,0.0
Apple,2021-11-05,0.22,0.0
