,Date,Firm,To Grade,From Grade,Action
Tesla,2021-10-21 10:21:59,Wedbush,Outperform,,main
Tesla,2021-10-21 11:06:18,Credit Suisse,Neutral,,main
Tesla,2021-10-21 11:07:12,Wells Fargo,Equal-Weight,,main
Tesla,2021-10-21 11:58:01,RBC Capital,Sector Perform,,main
Tesla,2021-10-21 12:42:25,Mizuho,Buy,,main
Tesla,2021-10-21 14:23:55,Roth Capital,Neutral,,main
Tesla,2021-10-21 14:33:04,Canaccord Genuity,Buy,,main
Tesla,2021-10-27 12:15:11,Goldman Sachs,Buy,,main
Tesla,2021-10-28 14:15:36,Piper Sandler,Overweight,,main
Tesla,2021-11-08 12:27:21,Jefferies,Buy,,main
Nvidia,2021-08-19 10:39:03,Summit Insights Group,Sell,Hold,down
Nvidia,2021-08-19 11:14:05,Mizuho,Buy,,main
Nvidia,2021-08-19 11:34:01,Rosenblatt,Buy,,main
Nvidia,2021-08-19 12:05:21,Credit Suisse,Outperform,,main
Nvidia,2021-08-19 12:26:39,Deutsche Bank,Hold,,main
Nvidia,2021-09-17 10:57:24,B of A Securities,Buy,,main
Nvidia,2021-09-28 11:15:04,Susquehanna,Positive,,main
Nvidia,2021-10-05 08:36:41,Keybanc,Overweight,,main
Nvidia,2021-11-04 14:41:41,Wells Fargo,Overweight,,main
Nvidia,2021-11-10 15:07:02,B of A Securities,Buy,,main
Apple,2021-07-28 14:08:03,Deutsche Bank,Buy,,main
Apple,2021-07-28 14:20:34,Loop Capital,Buy,,main
Apple,2021-09-01 13:06:05,Wolfe Research,Peer Perform,Underperform,up
Apple,2021-09-09 13:49:40,Piper Sandler,Overweight,,main
Apple,2021-09-22 16:07:34,Tigress Financial,Strong Buy,,main
Apple,2021-10-19 12:55:08,DA Davidson,Buy,,main
Apple,2021-10-27 13:11:01,Morgan Stanley,Overweight,,main
Apple,2021-10-29 10:56:50,Oppenheimer,Outperform,,main
Apple,2021-10-29 11:16:45,Barclays,Equal-Weight,,main
Apple,2021-10-29 11:41:38,Morgan Stanley,Overweight,,main
